"name","role","season","episodeName","actorName","gender"
"82","Gloria Rodriguez","Victim",2,"Boom! (Part 2)",NA,"f"
"83","Gordon Burns","Victim",3,"Slice of Death",NA,"m"
"84","Graham Morton","Victim",4,"A Dance With Death",NA,"m"
"85","Greg Page","Attempted Murder Victim",3,"Lucky Stiff","Wingate, Josh","m"
"86","Hal Lockwood","Killer",3,"Knockdown","Martini, Max","m"
"87","Hal Lockwood","Victim",3,"Knockout","Martini, Max","m"
"88","Hal Lockwood","Killer",3,"Knockout","Martini, Max","m"
"89","Hank McPhee","Killer",2,"The Late Shaft","Willard, Fred","m"
"90","Hank Spooner","Victim",4,"Cuffed",NA,"m"
"91","Harley Romero","Killer",3,"Slice of Death",NA,"m"
"92","Harrison Tisdale","Killer",1,"Flowers For Your Grave","Avers, Brian","m"
"93","Hayley Blue aka Hayley Maria Blue","Victim",2,"Famous Last Words","Haynes, Brianna","f"
"94","Henry Wyatt","Victim",4,"Kill Shot",NA,"m"
"95","Ian Busch","Killer",2,"Famous Last Words","Curtis Brown, Robert","m"
"96","Ike Thornton","Attempted Murder Victim",2,"Den of Thieves","Spears, Aaron D.","m"
"97","Jack Buckley","Victim",2,"Love Me Dead",NA,"m"
"98","Jack Cochran","Killer",3,"Countdown",NA,"m"
"99","Jack Coonan","Victim",2,"Sucker Punch","Alvarez, Justin","m"
"100","Jack Sinclair","Victim",4,"Demons","Karner, Philipp","m"
"101","Jack Spurlock","Killer",4,"Cuffed",NA,"m"
"102","Jamal Alhabi","Victim",3,"Setup","Marek, Piter","m"
"103","Jamal Buonsi","Victim",1,"Always Buy Retail",NA,"m"
"104","Jane Herzfeld","Victim",4,"Kick the Ballistics","Graff, Jessie","f"
"105","Janice Freeman","Killer",2,"Vampire Weekend","Barone, Anita","f"
"106","Jason Cosway","Killer",2,"The Double Down","Elliott, Brennan","m"
"107","Javier Esposito","Attempted Murder Victim",2,"Den of Thieves","Huertas, Jon","m"
"108","Jay Hixton","Victim",3,"Lucky Stiff","Collins, Skoti","m"
"109","Jeff Horn","Victim",1,"Hell Hath No Fury","Prudhont, John","m"
"110","Jenna McBoyd","Victim",2,"Inventing the Girl",NA,"f"
"111","Jennifer Stewart","Victim",3,"Knockdown",NA,"f"
"112","Jeremy Keiper","Victim",3,"Pretty Dead",NA,"m"
"113","Jeremy Prestwick","Attempted Murder Victim",2,"The Fifth Bullet",NA,"m"
"114","Jerry Tyson","Killer",3,"3XK","Mosley, Michael","m"
"115","Jesse Friedman","Victim",4,"47 Seconds","Child, Samuel","m"
"116","Jesse Friedman","Conspirator",4,"47 Seconds","Child, Samuel","m"
"117","Jessica Margolis","Victim",2,"The Mistress Always Spanks Twice","Motta, Vanessa","f"
"118","Jimmy Moran","Attempted Murder Victim",1,"A Death in the Family","Marinelli, Joe","m"
"119","Joe McUsic","Victim",3,"Law & Murder","Hlubik, Jesse","m"
"120","Johanna Beckett","Victim",3,"Knockdown",NA,"f"
"121","John Allen","Victim",2,"Deep in Death",NA,"m"
"122","John Knox","Victim",2,"Love Me Dead","LaPaglia, Jonathan","m"
